ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
CRXT,2.6999999999999913,-19.999999999999996,-113.49999999999996,38,"Clarus Therapeutics Holdings, Inc.",0.698,0.04750001,0.07302078,236633,14860459,144446,0.6505
AI,-1.553385416666675,14.766826174914428,-110.51942643779158,39,"C3.ai, Inc.",19.3,0,0,4207578,1985425952,3060389,17.47
UAMM,-3.831249999999997,38.10500000000001,-110.05445479595852,40,UA Multimedia Inc,0.0118,0,0,0,3739419,328520,0.0118
ASG,-3.541666666666665,36.66666666666667,-109.65909090909089,41,"Liberty All-Star Growth Fund, Inc.",6.96,0.28999996,0.043478255,287088,395391328,192027,6.67
DRUG,-1.7166666666666663,25.55624999999999,-106.71720877150076,42,Bright Minds Biosciences Inc.,1.45,-0.07999992,-0.052287536,20019,18362635,12516,1.53
EA,-0.43761904761904225,28.181818181818173,-101.55284178187402,43,Electronic Arts Inc.,123.8,3,0.024834437,1627691,35256258560,1815930,120.8
APVO,0,10.143333333333327,-100,44,Aptevo Therapeutics Inc.,4.74,0.25999975,0.05803566,68802,22873819,47050,4.48
VINE,0,20.487179487179485,-100,45,"Fresh Vine Wine, Inc.",3.09,-0.11,-0.034375,44019,0,29501,3.2
CNQ.TO,0,0,-100,46,Canadian Natural Resources Limited,74.65,0.8199997,0.011106590999999999,9261266,91302174720,3111762,73.83
NRXP,0,26.098484848484848,-100,47,"NRx Pharmaceuticals, Inc.",3.27,0.17000008,0.054838734,567248,193486012,396142,3.1
NAD,0,0,-100,48,Nuveen Quality Municipal Income Fund,13.53,0,0,1071247,3204648192,478665,13.53
YCBD,0,12.916666666666664,-100,49,"cbdMD, Inc.",0.83,0.05,0.0641026,120986,48889465,187668,0.78
AGS,0,19.999999999999996,-100,50,"PlayAGS, Inc.",7.24,0,0,280348,267647668,365055,7
BMO.TO,0,0,-100,51,Bank of Montreal,151.28,2.7700043,0.018651972000000003,2104221,98101895168,5936113,148.51
GGB,0,28.666666666666664,-100,52,Gerdau S.A.,5.49,0.11999989,0.022346349,9951625,9730695168,13288967,5.37
LIXT,0,0,-100,53,"Lixte Biotechnology Holdings, Inc.",1.21,0.11000001,0.10000000999999999,43184,15121252,19608,1.1
RA,0,19.999999999999996,-100,54,Brookfield Real Assets Income Fund Inc.,20.5,0,0,176208,899804512,181964,20.5
ALEX,0,9.305555555555568,-100,55,"Alexander & Baldwin, Inc.",24.08,0.62999916,0.026865635000000002,324657,1750144000,477541,23.45
PALT,0,17.500000000000004,-100,56,"Paltalk, Inc.",2.46,-0.00999999,-0.004048579,519423,24112380,131066,2.47
JETS,0.36701388888888964,10.06452991452993,-96.35339263725533,57,U.S. Global Jets ETF,20.39,0.04,0.00197,12805218,3507322500,10596257,19.38
CYN,0.5541666666666778,6.666666666666665,-91.68749999999983,58,Cyngn Inc.,1.28,0.02999997,0.023999977000000002,121681,33042856,82908,1.25
