ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
INO,6.693869731800772,22.25761627906977,146,"Inovio Pharmaceuticals, Inc.",3.41,-0.01999998,-0.0058308977,2895985,716363911,3967931,3.43
FTCH,6.728594771241836,9.516898148148133,147,Farfetch Limited,12.68,-0.8699999,-0.06420663,9159526,4284866658,15435152,13.55
AI,6.855152577826984,14.080555555555563,148,"C3.ai, Inc.",19.96,-1.4400005,-0.06728975,3480691,2053321348,3755183,21.4
CFVI,6.9344606782106855,7.415061016881674,149,CF Acquisition Corp. VI,11.43,-0.22999954,-0.019725518,1157114,351515000,749685,11.66
DIS,7.01923570204821,4.896796490799216,150,The Walt Disney Company,133.64,-0.00999451,-0.0000747812,7884764,243308986368,14673081,133.65
EBAY,7.021822184429327,13.56425264550265,151,eBay Inc.,52.36,-0.70000076,-0.013192626,18925699,30763020288,10250423,53.06
ROKU,7.1591072238418985,8.388026980735308,152,"Roku, Inc.",110.85,-6.7000046,-0.05699706,5544097,14998226944,4568703,117.55
BCE,7.239166666666663,10.000000000000009,153,BCE Inc.,54.3,0.27999878,0.0051832426,1178281,51606122496,3154708,54.02
AFRM,7.248754125412549,5.508506736027741,154,"Affirm Holdings, Inc.",36.55,-0.25,-0.006793479,5854380,8176404926,7208905,36.8
SLF,7.269999999999999,0,155,Sun Life Financial Inc.,52.58,0.25,0.0047773743000000006,787121,31009214464,680037,52.33
H,7.4239071637427045,5.436005374723729,156,Hyatt Hotels Corporation,90.86,2.0200043,0.022737556,541370,4573371863,702100,88.84
SPI,7.7187499999999964,18.633979328165374,157,"SPI Energy Co., Ltd.",3.31,-0.23000002,-0.06497175999999999,399641,80657156,621458,3.54
LABU,7.759420289855079,16.527822580645157,158,Direxion Daily S&P Biotech Bull 3X Shares,15.3,-0.3199997,-0.020486536000000003,15023948,877632480,16005076,15.62
LABD,7.761805555555568,15.51979166666666,159,Direxion Daily S&P Biotech Bear 3X Shares,41.43,0.70000076,0.017186368,3486013,50379874,3737913,40.73
BMBL,7.9315327978580985,6.4272804214407175,160,Bumble Inc.,23.24,-0.39999962,-0.016920458,11098904,4290104064,38246975,23.64
AES,7.9398863636363615,21.406250000000004,161,The AES Corporation,22.35,0.3900013,0.017759624,3854203,14916281424,6540739,21.96
IONQ,8.04117647058824,11.911666666666676,162,"IonQ, Inc.",12.75,0.25,0.02,1835752,2454210576,2301565,12.5
