ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
SD,5.036979166666677,11.023076923076914,160,"SandRidge Energy, Inc.",15.75,-0.17,-0.01068,0,583857308,1006983,15.19
OCX,5.067857142857157,30.000000000000004,161,OncoCyte Corporation,1.4,0.10000002,0.076923094,380313,129124012,487034,1.3
DOCU,5.088463053105485,9.949622071050634,162,"DocuSign, Inc.",93.88,-4.170006,-0.042529380000000006,11519626,18578626744,5176835,98.05
EA,5.138888888888893,0,163,Electronic Arts Inc.,123.68,-1.8399963,-0.01465899,1222004,34781540352,2139504,125.52
SNAP,5.169252136752123,7.149252819548879,164,Snap Inc.,31.74,-1.9400005,-0.057600965000000004,20606874,47292177477,26986366,33.68
L.TO,5.258333333333343,0,165,Loblaw Companies Limited,114.87,2.1800003,0.019345108,984956,38312247296,334783,112.69
BBBY,5.26941599281221,4.807837859269015,166,Bed Bath & Beyond Inc.,20.96,-1.5700016,-0.06968492999999999,5796443,2019238464,8323647,22.53
APPS,5.324187675070036,9.389099680432643,167,"Digital Turbine, Inc.",38.25,-1.0800018,-0.02746,2300408,3708765952,5791869,39.33
DIS,5.339011408851468,4.331143310657604,168,The Walt Disney Company,133.64,-0.00999451,-0.0000747812,7884764,243308986368,14673081,133.65
SMSI,5.382645772594752,29.103492063492055,169,"Smith Micro Software, Inc.",3.87,-0.09,-0.02273,0,211167908,193052,3.96
PHUN,5.445411962035673,6.337806414662084,170,"Phunware, Inc.",2.42,-0.02999997,-0.012244886,2959200,235296630,4141461,2.45
DKNG,5.4823556113987815,3.232268673451988,171,DraftKings Inc.,17.58,-0.20000076,-0.011248636000000001,31374403,7184544631,25492166,17.78
AMC,5.511508172588586,5.152293197929203,172,"AMC Entertainment Holdings, Inc.",15.32,-0.39000034,-0.024824972,25392337,7864219277,25206370,15.71
BBIG,5.5160460276261425,6.975822485342431,173,"Vinco Ventures, Inc.",2.24,-0.05999994,-0.026086931,11696238,307066679,15890187,2.3
COIN,5.5429545082637866,8.922626811594192,174,"Coinbase Global, Inc.",172.97,-6,-0.033525174,2670643,45300842496,4945198,178.97
GGPI,5.5795500073486215,11.052622305764427,175,"Gores Guggenheim, Inc.",10.98,-0.12000084,-0.010810887,1237234,879200000,2431341,11.1
FUBO,5.624020199514979,6.86084781040921,176,fuboTV Inc.,7.06,-0.49000025,-0.06490069400000001,9549629,1088038634,9741377,7.55
DASH,5.656060606060609,9.979074074074079,177,"DoorDash, Inc.",89.65,-2.1899948,-0.023845763,4806048,28478219000,4903551,91.84
INDP,5.714285714285716,5.020932539682543,178,"Indaptus Therapeutics, Inc.",3.7,-0.15,-0.03896,0,30316242,334427,3.85
IWM,5.9137618676754045,8.958935268903613,179,iShares Russell 2000 ETF,199.92,-0.360001,-0.00179749,25660992,56187510784,29048016,200.28
AMD,5.976418581631382,8.553653885355516,180,"Advanced Micro Devices, Inc.",106.46,-4.590004,-0.041332765,102557375,173248741376,102310329,111.05
TIGR,5.977642857142862,19.999999999999996,181,UP Fintech Holding Limited,3.6,-0.35000014,-0.08860764,3980060,584550016,2461183,3.95
BEKE,5.9831428571428535,3.1864473684210637,182,KE Holdings Inc.,11.65,0.65,0.05909,0,9853769409,21457053,14.46
ANY,6.012069538926679,2.4140579072614354,183,Sphere 3D Corp.,1.92,-0.03000009,-0.015384660999999999,2008235,69159710,5112109,1.95
NNDM,6.0144501816790985,5.634483066239304,184,Nano Dimension Ltd.,3.37,0.01999998,0.0059701437000000005,2264680,836041258,2494250,3.35
B,6.043333333333334,0,185,Barnes Group Inc.,42.15,-0.9699974,-0.0224953,234702,2136684800,311068,43.12
NTLA,6.075000000000008,-2.857142857142858,186,"Intellia Therapeutics, Inc.",65.91,-0.0799942,-0.0012122171,903938,4921659664,1380921,65.99
GS,6.083144499178972,8.910279667422527,187,"The Goldman Sachs Group, Inc.",329.9,-3.6900024,-0.011061491000000001,2194492,111480799232,3202098,333.59
BA,6.113513343592825,5.321673456454823,188,The Boeing Company,178.39,-0.16999817,-0.0009520507,7871526,104001328078,10062148,178.56
MU,6.124600754936127,7.615943223443233,189,"Micron Technology, Inc.",75.72,-3.7200012,-0.046827807000000006,21691955,84789739520,19647851,79.44
CLF,6.137984162076582,9.954768049155138,190,Cleveland-Cliffs Inc.,26.44,1.7300014,0.0700122,27448475,13891840000,31857636,24.71
DNN,6.170798319327719,10.296063311688307,191,Denison Mines Corp.,1.76,0.02999997,0.017341024,24355087,1433940608,28455589,1.73
OCGN,6.425873115750025,7.92113823156011,192,"Ocugen, Inc.",2.65,0,0,5784604,530638567,12373328,2.65
GEVO,6.468673256987967,11.875289658392084,193,"Gevo, Inc.",4.26,-0.26999998,-0.05960264,10079260,858451814,15482554,4.53
TWTR,6.499964974419514,2.3095526695526614,194,"Twitter, Inc.",34.12,-0.25,-0.007273785499999999,12426987,27317876584,16886048,34.37
USEG,6.544652655567074,9.240460010285068,195,U.S. Energy Corp.,7.82,0.75,0.10608204,4552399,36381622,7213584,7.07
XOP,6.576515151515161,11.903044871794876,196,SPDR S&P Oil & Gas Exploration & Production ETF,128.33,0,0,0,5441192000,21985362,125.82
MVIS,6.576904081632651,10.031017727340164,197,"MicroVision, Inc.",4.56,-0.03999996,-0.008695644,3645088,750713224,5069949,4.6
ISIG,6.653399014778327,10.246363049095608,198,"Insignia Systems, Inc.",8.25,-0.27000046,-0.031690192,941328,14463173,5617630,8.52
BMO,6.657499999999983,11.505882352941166,199,Bank of Montreal,114.8,-0.09999847,-0.0008703087,645710,75101470720,883174,114.9
NINE,6.6648056837113945,6.841803709856054,200,"Nine Energy Service, Inc.",3.74,-0.49,-0.11584,0,138976878,18172424,4.45
