ticker,posts,lastPosts,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
AMD,1459,1012,69350,14127,13763528,4981008,15,11981,2370,"Advanced Micro Devices, Inc.",109.06,3.53,0.03345,18381762,130796031203,135348316,105.53
SHOP,1180,539,68397,15595,6319174,2595613,16,7417,2143,Shopify Inc.,563.085,48.135,0.09348,879606,67857936435,5242338,514.95
CASH,282,176,63260,243036,129921,121438,17,62547,233630,"Meta Financial Group, Inc.",50.52,1.13,0.02288,42243,1508017100,390653,49.39
ASTR,585,549,60391,66104,780813,999117,18,41694,36967,"Astra Space, Inc.",3.65,0.02,0.00551,787331,737577666,6713313,3.63
KO,571,235,60074,9353,5720759,1278211,19,12521,2084,The Coca-Cola Company,59.195,0.535,0.00912,6382575,256638342467,30242133,58.66
GOOGL,656,877,58011,39484,2685132,8400413,20,8418,7398,Alphabet Inc.,2625.47,83.38,0.0328,342993,1775067887909,2021355,2542.09
V,381,454,56003,16964,3185937,3484206,21,10291,3943,Visa Inc.,197.125,5.415,0.02825,1380068,434463500000,11070893,191.71
ACH,754,525,53261,20866,1298839,1015615,22,73846,23089,Aluminum Corporation of China Limited,15.81,-0.14,-0.00878,12845,2494164083,281182,15.95
AAPL,2894,1543,49933,34707,33832305,9864929,23,7397,3692,Apple Inc.,160.935,3.495,0.0222,15847799,2626369237335,131148280,157.44
PFE,552,431,49725,11405,3056436,2550635,24,42007,7111,Pfizer Inc.,48.59,1.15,0.02424,3372848,273238405026,32913298,47.44
AA,211,332,49415,47649,1246747,7923909,25,38544,37095,Alcoa Corporation,79.07,-3.3,-0.04006,2302397,14659817740,12840933,82.37
FB,1074,1669,49326,71905,6015659,8281976,26,6082,9704,"Meta Platforms, Inc.",196.615,6.325,0.03324,4960169,561139235167,37508149,190.29
PM,244,376,48081,75672,766188,919307,27,45036,68164,Philip Morris International Inc.,95.015,1.045,0.01112,436246,147256890032,11529274,93.97
CEI,5832,8189,47850,88658,9587780,18886122,28,7329,13828,"Camber Energy, Inc.",1.155,-0.085,-0.06855,59384399,288750000,721290368,1.24
BBIG,1136,1022,43206,62795,1411350,1615213,29,7340,7800,"Vinco Ventures, Inc.",2.39,0.21,0.09633,4927810,327629180,24794044,2.18
SOS,157,979,41649,1635931,970571,1172830,30,9201,383712,SOS Limited,0.665,0.0416,0.06673,1287110,121278558,7452466,0.6234
AMZN,1178,1082,38427,17744,7393153,5306030,31,5181,2540,"Amazon.com, Inc.",2767.725,47.435,0.01744,650333,1408341394667,4583129,2720.29
GOOG,564,700,37940,19919,3142271,3857991,32,3854,2353,Alphabet Inc.,2626.3,80.73,0.03171,314696,1773201618310,1762478,2545.57
SNOW,436,407,37468,13542,1516452,2475444,33,6251,2043,Snowflake Inc.,202.33,10.72,0.05595,1187872,57539822617,8598340,191.61
U,305,192,34824,2571,913861,1027056,34,3912,424,Unity Software Inc.,86.8,5.72,0.07055,763010,25527474384,5557567,81.08
RBLX,211,224,34500,8538,626426,1278171,35,4034,1084,Roblox Corporation,44.79,2.88,0.06872,3566683,24658676567,17363064,41.91
RIDE,286,299,34048,107579,1908756,771462,36,20019,102803,Lordstown Motors Corp.,2.325,0.155,0.07143,1347234,456816179,9211516,2.17
TRT,258,26,28884,451,285191,143163,37,26633,58,Trio-Tech International,6.47,0.13,0.0205,2878,25551195,191237,6.34
NVDA,1021,832,28544,10997,8975291,4802167,38,4056,1755,NVIDIA Corporation,227.94,12.8,0.0595,10088215,569850000000,55746719,215.14
MA,253,341,26114,37558,1999043,3928865,39,6375,9316,Mastercard Incorporated,323.89,9.56,0.03041,458551,314085673180,5048201,314.33
MSFT,778,851,25798,12390,3441140,5789351,40,3694,3223,Microsoft Corporation,284.71,8.86,0.03212,6053134,2134432840716,48159475,275.85
EAT,67,61,23615,14094,43513,172253,41,22962,13693,"Brinker International, Inc.",35.285,2.615,0.08004,58871,1573681502,2009468,32.67
GGPI,260,295,23091,15269,913112,928095,42,1970,1878,"Gores Guggenheim, Inc.",11.04,-0.01,-0.0009,455486,883200000,3282046,11.05
INDO,899,1980,22760,24639,5857366,8098005,43,6039,16358,Indonesia Energy Corporation Limited,37.98,6.98,0.22516,1411128,282113731,7998905,31
NIO,1396,1364,22714,19015,3132142,1982036,44,4172,5214,NIO Inc.,19.195,1.215,0.06758,17615290,29923283900,74932445,17.98
DKNG,658,666,22598,6738,4388499,2387661,45,2378,1163,DraftKings Inc.,17.77,0.39,0.02244,5682959,7262193293,31331296,17.38
MARA,540,487,21134,12156,1495374,1009656,46,9539,6017,"Marathon Digital Holdings, Inc.",25.34,2.99,0.13378,3745283,2600660088,10851565,22.35
PLTR,764,834,20143,32151,2545290,3076396,47,2030,3075,Palantir Technologies Inc.,11.71,0.67,0.06069,9152128,22590738750,49279564,11.04
