ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
CHGG,-7.574999999999998,9.976851851851865,18,"Chegg, Inc.",30.55,0.37,0.01226,697145,4119621614,2825463,30.18
MSTR,-7.410416666666675,-2.2916666666666696,19,MicroStrategy Incorporated,383.81,13.88,0.03752,148196,3556977982,493190,369.93
CRDF,-7.329861111111102,0,20,"Cardiff Oncology, Inc.",2.235,0.125,0.05924,245289,96789046,474197,2.11
CPRI,-7.08333333333333,20.52083333333332,21,Capri Holdings Limited,49.81,0.52,0.01055,518365,7352717495,2158695,49.29
BIIB,-6.666666666666665,-5.709999999999993,22,Biogen Inc.,195.47,1.7,0.00877,301786,28726817148,1475811,193.77
CHEK,-6.577777777777783,0,23,Check-Cap Ltd.,0.3665,-0.0035,-0.00946,321459,35332414,1067762,0.37
TIGR,-6.401962365591396,4.340217391304346,24,UP Fintech Holding Limited,3.01,0.21,0.075,2773280,425517162,6317327,2.8
SM,-5.9200000000000035,3.0750000000000055,25,SM Energy Company,35.365,-0.685,-0.019,945230,4309658401,3245654,36.05
RIG,-5.264170875420882,-1.3513333333333266,26,Transocean Ltd.,3.915,-0.225,-0.05435,16423549,2569717940,29358827,4.14
ISIG,-4.279411764705876,-8.000000000000007,27,"Insignia Systems, Inc.",8.17,-0.02,-0.00244,162438,14594038,644367,8.19
PACB,-3.5016666666666696,0,28,"Pacific Biosciences of California, Inc.",8.695,0.265,0.03144,1463541,1923181464,5903867,8.43
IMMX,-3.429166666666672,3.9133333333333242,29,"Immix Biopharma, Inc.",2.01,0.11,0.05789,58309,14472000,101747,1.9
DRUG,-3.3333333333333215,36.72619047619048,30,Bright Minds Biosciences Inc.,1.56,0.02999997,0.019607825000000002,5628,18362635,52386,1.53
NUE,-3.1636363636363685,17.848484848484848,31,Nucor Corporation,131.565,-0.485,-0.00367,713196,35407412601,3184394,132.05
CLNE,-3.1297619047618963,-5.529047619047612,32,Clean Energy Fuels Corp.,6.97,-0.24,-0.03329,1295413,1550850371,5117060,7.21
HOTH,-3.122727272727266,-4.223856209150334,33,"Hoth Therapeutics, Inc.",0.5397,0.0207,0.03988,169016,12938864,1818474,0.519
LIFE,-2.4651785714285723,0,34,"aTyr Pharma, Inc.",4.74,-0.01,-0.00211,42338,131752064,200688,4.75
COCP,-2.155554545454552,-1.610222222222224,35,"Cocrystal Pharma, Inc.",0.4879,0.007,0.01456,75688,47555006,204918,0.4809
DAVE,-1.9999999999999907,3.200000000000003,36,Dave Inc.,6.66,0.23,0.03577,384669,1986064428,998951,6.43
YY,-1.9682812500000035,-3.189743589743599,37,JOYY Inc.,25.21,0.71,0.02898,1929176,1553752754,4250342,24.5
MTEX,-1.3171874999999944,0,38,"Mannatech, Incorporated",33,0.5299988,0.016322721,1777,63418080,6967,32.47
OOMA,-1.2666666666666715,26.66666666666666,39,"Ooma, Inc.",14.26,-0.08,-0.00558,15000,339388000,115109,14.34
BG,-1.2499999999999956,33.27499999999999,40,Bunge Limited,106.44,-1.71,-0.01581,360922,15040204465,1631303,108.15
EAT,-1.2499999999999956,52.91666666666668,41,"Brinker International, Inc.",35.15,1.22,0.03596,148222,1567660615,1223919,33.93
ABMD,-1.2499999999999956,0,42,"Abiomed, Inc.",288.9,11.35,0.04089,30737,13149630180,227602,277.55
THMO,-0.9666666666666601,0,43,"ThermoGenesis Holdings, Inc.",0.544,0,0,16789,6480010,164647,0.544
CSIQ,-0.8725688828990719,23.559027777777786,44,Canadian Solar Inc.,29.36,0.76,0.02657,576981,1761530798,2303192,28.6
Z,-0.578124999999996,25.596245421245435,45,"Zillow Group, Inc.",46.52,0.39,0.00845,520095,11309551027,3427262,46.13
SU.TO,-0.44999999999999485,0,46,Suncor Energy Inc.,37.86,-1.56,-0.03957,4344628,54378287485,6666779,39.42
GOCO,-0.43561325771003245,4.901277777777779,47,"GoHealth, Inc.",1.095,0.02,0.0186,807535,125677451,3101520,1.075
MARA,-0.2620663956639513,7.611616161616164,48,"Marathon Digital Holdings, Inc.",21.89,0.48,0.02242,3553402,2255809790,8346716,21.41
AAV.TO,0,0,49,Advantage Energy Ltd.,6.6,-0.37,-0.05308,421566,1259471242,336947,6.97
FTI,0,0,50,TechnipFMC plc,7.055,-0.345,-0.04662,3110876,3179691886,9339779,7.4
GLSI,0,0,51,"Greenwich LifeSciences, Inc.",20.68,0.18,0.00878,12741,269213501,43908,20.5
CGEN,0,-15.000000000000002,52,Compugen Ltd.,2.92,-0.02,-0.0068,218605,245040353,756727,2.94
BLI,0,14.999999999999991,53,"Berkeley Lights, Inc.",5.25,-0.01,-0.0019,333991,355168742,1711239,5.26
