ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
BLI,21.03333333333335,8.68,48,"Berkeley Lights, Inc.",5.69,-0.6199999,-0.09825671,1448195,384935265,2393963,6.31
SM,21.017968749999994,2.3477272727272736,49,SM Energy Company,40.02,1.0299988,0.026416998,2511205,4876917248,4981084,38.99
CRDF,20.628929924242435,9.633424422799418,50,"Cardiff Oncology, Inc.",2.37,-0.13000011,-0.052000045999999994,301732,103068425,517524,2.5
ABT,20.13666666666667,-15.416666666666668,51,Abbott Laboratories,117,-1.3899994,-0.011740851000000002,4002146,206327169024,5004766,118.39
VVV,19.999999999999996,0,52,Valvoline Inc.,29.55,-0.49000168,-0.016311640000000002,842118,5299969536,1900026,30.04
GLSI,19.999999999999996,0,53,"Greenwich LifeSciences, Inc.",21.07,-0.79,-0.03614,0,274290545,57995,21.86
ECEZ,19.999999999999996,16.250000000000007,54,Ecosciences Inc,0.0002,0,0,0,4787347,24568105,0.0002
GOOS,19.999999999999996,7.500000000000018,55,Canada Goose Holdings Inc.,23.46,0.02999878,0.0012803575,768109,2529902848,877721,23.43
RETA,19.999999999999996,0,56,"Reata Pharmaceuticals, Inc.",33.32,0.23999786,0.0072550744,365793,1049069204,358961,33.08
GBT,19.999999999999996,0,57,"Global Blood Therapeutics, Inc.",28.6,-0.6099987,-0.020883213999999997,1417589,1849355712,1170265,29.21
AL,19.999999999999996,0,58,Air Lease Corporation,36.25,0.34,0.00947,0,4093278700,1670473,35.92
WES,18.999999999999993,-9.999999999999998,59,"Western Midstream Partners, LP",25.23,0.59000015,0.023944812,2363842,10181465088,2686824,24.64
NAT,18.628333333333337,8.90346666666668,60,Nordic American Tankers Limited,2.19,0.04999995,0.023364463,2514443,423675617,6303789,2.14
AEP,18.55,-33.333333333333336,61,"American Electric Power Company, Inc.",95.99,0.9799957,0.010314658,2897953,48399310848,3006258,95.01
ACB,18.05416666666666,14.598055555555556,62,Aurora Cannabis Inc.,3.33,-0.09000015,-0.026315835,3861165,717341820,5902020,3.42
IONQ,17.560888501742156,7.793916361416353,63,"IonQ, Inc.",12.75,0.25,0.02,1835752,2454210576,2301565,12.5
FTCH,17.347916666666663,13.695000000000013,64,Farfetch Limited,12.68,-0.8699999,-0.06420663,9159526,4284866658,15435152,13.55
DAL,17.078312629399583,8.943012435945509,65,"Delta Air Lines, Inc.",32.55,-0.20999908,-0.006410229,17348104,20829720576,25808003,32.76
CELH,16.964285714285722,-10.590277777777779,66,"Celsius Holdings, Inc.",49.56,-0.87999725,-0.017446417999999998,595005,3712073728,915614,50.44
AQB,16.92612336601307,9.1375,67,"AquaBounty Technologies, Inc.",1.93,0.53,0.37857143,8421508,134238645,800149,1.4
BG,16.875000000000018,33.8888888888889,68,Bunge Limited,110.26,0.51,0.00465,0,15507914694,1671473,107.48
LOVE,16.700000000000003,0,69,The Lovesac Company,40.75,0.8499985,0.02130322,215063,616266304,309196,39.9
GOOG,16.689277429596938,13.200045610794021,70,Alphabet Inc.,2653.64,-23.680176,-0.008844731500000001,1213260,1753358139392,1612872,2677.32
AAV.TO,16.666666666666675,0,71,Advantage Energy Ltd.,7.43,0.0699997,0.009510828,942157,1417859328,336947,7.36
CVE.TO,16.666666666666675,0.2083333333333437,72,Cenovus Energy Inc.,20.39,0.09000015,0.0044335052,8343173,40683757568,3342344,20.3
CAR,16.198749999999997,5.543005952380953,73,"Avis Budget Group, Inc.",201.3,6.5599976,0.033685927000000004,769671,10823398400,856498,194.74
MO,16.136666666666667,-5.83315789473684,74,"Altria Group, Inc.",51.23,0.22999954,0.004509795,7435956,93098229760,9772294,51
FSR,16.10747542534159,18.405217647098482,75,Fisker Inc.,11.45,-0.01000023,-0.0008726203,7094850,1882820619,7574729,11.46
BKR,16.08194444444444,4.749999999999988,76,Baker Hughes Company,36.74,2.9300003,0.08666076,13964313,38045070000,21479175,33.81
ATOS,15.964289115646245,9.545082671957683,77,"Atossa Therapeutics, Inc.",1.28,-0.06000006,-0.044776163,1085381,162711981,2090445,1.34
FVRR,15.906111111111109,0,78,Fiverr International Ltd.,68.19,-3.3099976,-0.04629367399999999,467868,2506739955,578584,71.5
CELZ,15.67507142857143,11.841699134199125,79,"Creative Medical Technology Holdings, Inc.",1.63,0.07000005,0.04487183,239899,11781365,491934,1.56
PALT,15.301289682539675,17.90624999999999,80,"Paltalk, Inc.",2.64,0.20000005,0.08196723,257452,25876700,267176,2.44
XPO,15.156250000000004,17.06451612903226,81,"XPO Logistics, Inc.",72.39,2.3499985,0.033552234,1801618,8309864960,5006450,70.04
ETEK,15.135760368663597,12.051740958034806,82,"Eco-Tek Group, Inc.",0.0025,0.00005,0.020408127,10031619,13311983,19120571,0.00245
KTTA,14.538715277777769,7.565260416666675,83,Pasithea Therapeutics Corp.,1.25,0.02999997,0.024590139999999996,286651,16246296,447154,1.22
